country_code,mkpl_doctor_id,main_specialization,main_specialization_type,doctor_city,doctor_district,mkpl_calendar_id,insurance_name,weeks_ahead,wp_minutes_per_week
de,"393,392",dentistry,medical,München,Altstadt-Lehel,"3,850",Gesetzlich versichert,12,"1,830"
de,"393,392",dentistry,medical,München,Altstadt-Lehel,"3,850",Privat versichert,12,"1,830"
de,"393,553",dentistry,medical,,,"6,784",Gesetzlich versichert,24,210
de,"393,553",dentistry,medical,,,"6,784",Privat versichert,24,210
de,"393,716",plastic & aesthetic surgery,medical,,,"4,193",Gesetzlich versichert,24,510
de,"393,716",plastic & aesthetic surgery,medical,,,"4,193",Privat versichert,24,510
de,"394,063",plastic & aesthetic surgery,medical,Hamburg,,"6,950",Gesetzlich versichert,4,120
de,"394,063",plastic & aesthetic surgery,medical,Hamburg,,"6,950",Privat versichert,4,120
de,"394,087",alternative medicine,paramedical,Remscheid,Lennep,"10,429",Gesetzlich versichert,4,770
de,"394,087",alternative medicine,paramedical,Remscheid,Lennep,"10,429",Privat versichert,4,770
de,"394,214",alternative medicine,paramedical,,,"3,963",Gesetzlich versichert,24,"2,700"
de,"394,214",alternative medicine,paramedical,,,"3,963",Privat versichert,24,"2,700"
de,"394,230",alternative medicine,paramedical,,,"14,330",Gesetzlich versichert,6,60
de,"394,230",alternative medicine,paramedical,,,"14,330",Privat versichert,6,60
de,"394,296",alternative medicine,paramedical,,,"5,420",Gesetzlich versichert,4,420
de,"394,296",alternative medicine,paramedical,,,"5,420",Privat versichert,4,420
de,"394,366",plastic & aesthetic surgery,medical,Hamburg,Eimsbüttel,"6,112",Gesetzlich versichert,8,60
de,"394,366",plastic & aesthetic surgery,medical,Hamburg,Eimsbüttel,"6,112",Privat versichert,8,60
de,"394,520",internal medicine,medical,Hamburg,Wandsbek,"4,973",Gesetzlich versichert,9,900
de,"394,520",internal medicine,medical,Hamburg,Wandsbek,"4,973",Privat versichert,9,900
de,"394,667",alternative medicine,paramedical,,,"10,706",Gesetzlich versichert,8,"1,830"
de,"394,667",alternative medicine,paramedical,,,"10,706",Privat versichert,8,"1,830"
de,"394,667",alternative medicine,paramedical,Nürnberg,Schoppershof,"10,732",Gesetzlich versichert,6,"1,170"
de,"394,667",alternative medicine,paramedical,Nürnberg,Schoppershof,"10,732",Privat versichert,6,"1,170"
de,"394,688",internal medicine,medical,Hohenschäftlarn,Hohenschäftlarn,"9,447",Gesetzlich versichert,24,720
de,"394,688",internal medicine,medical,Hohenschäftlarn,Hohenschäftlarn,"9,447",Privat versichert,24,720
de,"394,933",paediatrics,medical,,,"13,006",Gesetzlich versichert,1,45
de,"394,933",paediatrics,medical,,,"13,006",Privat versichert,1,45
de,"394,949",alternative medicine,paramedical,Vilsbiburg,Grub,"11,830",Gesetzlich versichert,8,120
de,"394,949",alternative medicine,paramedical,Vilsbiburg,Grub,"11,830",Privat versichert,8,120
de,"394,949",alternative medicine,paramedical,,,"11,831",Gesetzlich versichert,8,120
de,"394,949",alternative medicine,paramedical,,,"11,831",Privat versichert,8,120
de,"394,978",dentistry,medical,Siegburg,,"4,616",Gesetzlich versichert,24,"2,055"
de,"394,978",dentistry,medical,Siegburg,,"4,616",Privat versichert,24,"2,055"
de,"395,219",dermatology and venereology,medical,Friedberg,,"9,403",Gesetzlich versichert,4,480
de,"395,219",dermatology and venereology,medical,Friedberg,,"9,403",Privat versichert,4,480
de,"395,270",alternative medicine,paramedical,,,"10,454",Gesetzlich versichert,4,60
de,"395,270",alternative medicine,paramedical,,,"10,454",Privat versichert,4,60
de,"395,310",dentistry,medical,Bonn,,"11,099",Gesetzlich versichert,3,"1,200"
de,"395,310",dentistry,medical,Bonn,,"11,099",Privat versichert,3,"1,200"
de,"395,364",plastic & aesthetic surgery,medical,,,"4,009",Gesetzlich versichert,24,90
de,"395,364",plastic & aesthetic surgery,medical,,,"4,009",Privat versichert,24,90
de,"395,495",trauma and orthopaedic surgery,medical,Hameln,,"9,798",Gesetzlich versichert,2,240
de,"395,495",trauma and orthopaedic surgery,medical,Hameln,,"9,798",Privat versichert,2,240
de,"395,591",dentistry,medical,Köln,Mülheim,"11,895",Gesetzlich versichert,5,840
de,"395,591",dentistry,medical,Köln,Mülheim,"11,895",Privat versichert,5,840
de,"395,598",dentistry,medical,,,"6,226",Gesetzlich versichert,24,540
de,"395,598",dentistry,medical,,,"6,226",Privat versichert,24,540
de,"395,622",internal medicine,medical,Düsseldorf,Altstadt,"5,655",Gesetzlich versichert,4,120
de,"395,622",internal medicine,medical,Düsseldorf,Altstadt,"5,655",Privat versichert,4,120
de,"395,622",internal medicine,medical,Meerbusch,,"5,684",Gesetzlich versichert,4,60
de,"395,622",internal medicine,medical,Meerbusch,,"5,684",Privat versichert,4,60
de,"395,750",internal medicine,medical,Bremen,Habenhausen,"11,961",Gesetzlich versichert,4,260
de,"395,750",internal medicine,medical,Bremen,Habenhausen,"11,961",Privat versichert,4,260
de,"395,807",alternative medicine,paramedical,,,"5,726",Privat versichert,4,300
de,"395,817",plastic & aesthetic surgery,medical,Bonn,Hardtberg,"6,241",Gesetzlich versichert,24,340
de,"395,817",plastic & aesthetic surgery,medical,Bonn,Hardtberg,"6,241",Privat versichert,24,340
de,"395,817",plastic & aesthetic surgery,medical,,,"6,246",Gesetzlich versichert,24,80
de,"395,817",plastic & aesthetic surgery,medical,,,"6,246",Privat versichert,24,80
de,"395,902",alternative medicine,paramedical,,,"5,278",Gesetzlich versichert,24,"1,410"
de,"395,902",alternative medicine,paramedical,,,"5,278",Privat versichert,24,"1,410"
de,"395,993",alternative medicine,paramedical,Frankfurt,Innenstadt Iii,"9,174",Privat versichert,4,15
de,"396,026",alternative medicine,paramedical,Starnberg,,"9,825",Gesetzlich versichert,24,120
