country_code,mkpl_doctor_id,mkpl_calendar_id,insurance_name,wp_minutes
mx,"148,392","14,759",Convenio Ika Dent-Universidad Mundo Maya,"1,230"
mx,"148,392","14,759",Banorte - Generali,"1,230"
mx,"12,884","113,230",Banamex Seguros,360
mx,"12,884","113,230",Dentralia,360
mx,"12,884","113,230",AXA Keralty,360
mx,"12,884","113,230",lineco,360
mx,"300,267","121,487",MUSAR,750
mx,"300,267","121,487",Magna Mechanism-SMNYL,750
mx,"300,267","121,487",PIF Seguro Liverpool,750
mx,"300,267","121,487",Banrural,750
mx,"300,267","121,487",Axa Assistance SANTANDER,750
mx,"300,267","121,487",Soluglob Ikon,750
mx,"300,267","121,487",Flex,750
mx,"300,267","121,487",Globality Health,750
mx,"300,267","121,487",Red Benefit,750
mx,"300,267","121,487",DELTA HEALTH SYSTEMS,750
br,"35,625","103,644",ASSEFAZ (Ministério da Fazenda),240
br,"35,625","103,644",BACEN,240
br,"57,572","32,371",BANCO CENTRAL DO BRASIL,40
br,"955,722","230,869",E-VIDA (ELETRO NORTE),720
de,275,409,Gesetzlich versichert,960
de,265,401,Privat versichert,"1,920"
de,366,599,Gesetzlich versichert,"1,560"
mx,"300,267","121,487",Axa Assistance HSBC,750
mx,"300,267","121,487",BBVA Bancomer,750
mx,"300,267","121,487",INSABI,750
mx,"300,267","121,487",Comisión Nacional Bancaria De Valores,750
mx,"300,267","121,487",SAISUV,750
br,"658,983","66,913",Golden Cross,210
br,"955,722","230,869",EMBRATEL,720
mx,"300,267","121,487",CCPOA,750
mx,"300,267","121,487",Integra Salud,750
de,"1,284","1,759",Gesetzlich versichert,840
de,"1,547","2,015",Privat versichert,930
de,"2,194","2,821",Privat versichert,135
de,"2,365","3,141",Privat versichert,"2,040"
de,"2,339","3,092",Privat versichert,270
de,"2,573","3,407",Gesetzlich versichert,390
de,"55,322","8,368",Privat versichert,870
de,"55,322","8,368",Gesetzlich versichert,870
de,"274,992","9,295",Privat versichert,"2,040"
de,"272,613","8,744",Privat versichert,870
de,"277,631","7,596",Privat versichert,170
de,"400,244","4,723",Gesetzlich versichert,"2,220"
de,"372,028","13,070",Privat versichert,120
de,"394,063","6,950",Privat versichert,120
de,"379,290","5,654",Gesetzlich versichert,"1,080"
mx,"305,693","65,543",principal,"1,665"
mx,"148,392","14,759",Pacientes privados (sin aseguradora),"1,230"
mx,"12,884","113,230",Human Access,360
mx,"12,884","113,230",UFCW,360
mx,"300,267","121,487",Gobierno del Estado,750
mx,"300,267","121,487",Dental Lit,750
mx,"300,267","121,487",Choice Net,750
br,"770,649","123,184",Amil,180
de,396,580,Privat versichert,960
de,908,"1,112",Privat versichert,315
de,"1,194","1,580",Privat versichert,"4,560"
de,"1,787","2,421",Privat versichert,"4,950"
de,"1,816","2,379",Gesetzlich versichert,240
de,"1,916","2,476",Gesetzlich versichert,"1,890"
de,"2,037","2,739",Privat versichert,"1,680"
de,"2,133","2,688",Privat versichert,"2,525"
de,"2,133","2,688",Gesetzlich versichert,"2,525"
de,"2,587","3,464",Privat versichert,"1,770"
de,"45,897","10,421",Gesetzlich versichert,360
de,"396,322","8,387",Privat versichert,"1,650"
de,"388,828","5,989",Gesetzlich versichert,960
de,"348,486","5,310",Gesetzlich versichert,360
de,"376,020","4,116",Privat versichert,"1,800"
de,"361,392","8,802",Privat versichert,"2,220"
de,"359,877","11,757",Gesetzlich versichert,150
de,"351,774","8,491",Gesetzlich versichert,540
de,"348,966","6,934",Gesetzlich versichert,390
de,"408,341","7,830",Gesetzlich versichert,"1,245"
de,"410,911","9,645",Gesetzlich versichert,"1,640"
