country_code,specializations,specialization_type,has_pricing,min_2_bookable_services_with_prices,min_4_bookable_services_with_prices,count
br,angiologist,medical,1,0,0,2
br,general practitioner / traffic doctor,medical,1,1,1,2
mx,general practitioner / diabetologist,medical,1,1,0,1
br,pediatrician / pediatric endocrinologist,medical,1,0,0,1
mx,pediatric hematologist / pediatrician,medical,1,1,0,2
mx,nutritionist,paramedical,0,1,0,1
br,general practitioner / psychiatrist,medical,1,0,0,2
mx,oncologist surgeon,medical,1,0,0,2
br,cardiologist / medical clinic specialist,medical,1,1,1,8
br,emergency doctor,medical,1,0,0,1
mx,neurosurgeon / neurologist / general surgeon,medical,1,0,0,1
mx,proctologist / general surgeon,medical,1,0,0,3
br,angiologist / vascular surgeon,medical,1,1,0,1
br,pediatrician / nutrologist / homeopath,medical,1,0,0,1
mx,cardiologist / general practitioner,medical,1,1,1,2
mx,dentist / orthodontist,medical,0,1,0,1
mx,dermatologist / general practitioner,medical,1,0,0,1
mx,internist / general practitioner / specialist in critical medicine and intensive care,medical,0,0,0,1
mx,psychologist,,1,1,1,2
mx,psychologist / educational psychologist,paramedical,1,1,1,1
br,family doctor / psychiatrist / general practitioner,medical,1,1,1,1
br,pediatrician / general practitioner,medical,1,1,0,1
mx,gynecologist / gynecologist,medical,0,1,0,1
br,pediatric neurologist / pediatrician,medical,1,0,0,3
br,general surgeon / gastroenterologist,medical,1,1,1,1
br,cardiologist / general practitioner,medical,1,0,0,3
mx,pediatrician / specialty in critically ill pediatric medicine,medical,1,1,1,6
mx,general practitioner / clinical nutritionist / nutritionist,medical,1,1,0,1
br,generalist / hematologist,medical,1,1,1,1
br,dermatologist / infectologist / specialist in aesthetic medicine,medical,1,0,0,1
br,ultrasound specialist / diagnostic radiologist,medical,1,1,1,1
mx,internist / nephrologist,medical,1,0,0,1
br,urologist / human reproduction specialist,medical,1,1,1,1
br,mastologist / general practitioner / gynecologist,medical,1,1,0,1
br,nutritionist / psychoanalyst / complementary therapist,paramedical,1,1,1,1
br,psychoanalyst / pediatrician,paramedical,1,1,1,1
mx,complementary therapist,paramedical,1,1,0,1
br,general practitioner / gastroenterologist,medical,1,0,0,1
mx,internist / endocrinologist,medical,1,0,0,1
br,oncologist surgeon / general surgeon,medical,1,0,0,1
mx,audiologist / phoniatrician,paramedical,0,1,1,1
br,allergist / pediatrician / emergency doctor,medical,1,1,0,1
br,neurologist / cardiologist / family doctor,medical,1,0,0,1
mx,allergist / pediatrician,medical,1,1,1,1
mx,implantologist / dentist,medical,0,0,0,2
br,pediatric endocrinologist / pediatrician,medical,1,0,0,1
br,nephrologist,,1,1,1,1
mx,sexologist / general practitioner,paramedical,1,1,1,1
br,traumatologist and orthopedist / nutritionist / generalist,medical,1,0,0,1
mx,neurosurgeon / general practitioner,medical,0,0,0,1
mx,educational psychologist,paramedical,0,1,1,1
mx,pediatric  respiratory physician / pediatrician,medical,0,1,0,2
mx,physical medicine and rehabilitation specialist,paramedical,1,1,1,4
mx,psychologist,paramedical,0,1,0,27
mx,plastic surgeon,medical,1,1,1,7
br,generalist,medical,1,1,1,64
br,ophthalmologist,medical,1,1,0,11
mx,general surgeon,medical,1,1,1,33
mx,general practitioner,medical,1,1,0,31
br,nutrologist / general surgeon,medical,1,0,0,2
br,speech therapist,paramedical,1,0,0,9
br,neurosurgeon,medical,1,0,0,25
mx,internist,medical,1,0,0,13
mx,maxillofacial surgeon,medical,0,0,0,3
mx,oncologist surgeon / general surgeon,medical,1,1,1,3
mx,hematologist,medical,0,1,1,2
mx,pediatrician,medical,0,1,0,4
mx,neurosurgeon,medical,1,0,0,15
br,pediatrician / family doctor,medical,1,1,1,1
mx,angiologist,medical,1,0,0,4
mx,pediatrician / neonatologist,medical,0,0,0,2
br,pediatrician / pediatric infectologist,medical,1,1,1,1
mx,urology gynecologist / gynecologist,medical,1,0,0,1
mx,dentist / orthodontist / implantologist,medical,1,1,1,1
mx,general practitioner / specialist in obesity and thinness,medical,1,1,1,1
br,geriatrician / gynecologist / psychoanalyst,medical,1,1,0,1
br,complementary therapist,paramedical,1,1,0,5
mx,physical medicine and rehabilitation specialist,paramedical,1,1,0,4
mx,nephrologist,medical,1,1,1,2
mx,educational psychologist / sexologist,paramedical,1,1,0,1
br,generalist / dermatologist / psychiatrist,medical,1,1,1,1
br,medical clinic specialist / general practitioner,medical,1,0,0,1
br,pediatric dentist,paramedical,1,1,1,1
mx,plastic surgeon,,0,0,0,1
br,urologist / general surgeon,medical,1,0,0,1
mx,pediatrician / allergist / immunologist,medical,0,0,0,1
mx,dentist / implantologist / periodontologist,medical,1,1,1,1
mx,plastic surgeon / general surgeon / general practitioner,medical,1,0,0,1
mx,oncologist / internist / general practitioner,medical,0,0,0,1
mx,emergency medicine specialist,paramedical,1,1,1,4
mx,homeopath,medical,0,1,0,1
mx,occupational doctor,paramedical,0,0,0,1
br,general practitioner / psychiatrist / occupational doctor,medical,1,1,1,1
br,physical therapist / chiropractor,paramedical,1,0,0,2
mx,geriatrician,medical,1,0,0,4
br,oncologist surgeon / general surgeon,medical,1,1,1,1
mx,internist / infectologist,medical,0,0,0,1
br,head and neck surgeon / general practitioner,medical,1,0,0,1
br,family doctor / preventive medicine specialist,medical,1,0,0,1
mx,implantologist / endodontist / dentist,medical,1,1,1,1
br,psychiatrist / general practitioner / pediatrician,medical,1,1,1,1
br,pain management specialist / rheumatologist / general practitioner,medical,1,1,1,1
mx,pediatric surgeon / pediatrician,medical,1,0,0,3
mx,orthodontist,medical,1,1,1,1
mx,internist / rheumatologist,medical,1,1,0,1
mx,cardiologist / internist,medical,0,1,0,1
mx,nutrologist / nutritionist,medical,0,1,0,1
mx,geriatrician / general practitioner,medical,1,1,1,2
br,cardiologist,medical,0,0,0,4
br,nutrologist / sports medicine specialist,medical,1,1,1,2
mx,dentist / cosmetic medicine specialist,medical,1,0,0,1
br,psychologist,paramedical,0,1,1,2
br,acupuncturist / traumatologist and orthopedist,medical,0,0,0,1
br,dermatologist / generalist,medical,1,1,1,1
mx,nutrologist / clinical nutritionist,medical,1,1,1,1
br,sexologist / psychologist,medical,1,0,0,1
mx,pediatrician / pediatric infectologist,medical,1,1,0,1
br,digestive system surgeon / general surgeon,medical,1,1,0,1
mx,emergency medicine specialist / internist,paramedical,1,1,0,1
br,radiologist,medical,1,1,0,1
mx,cardiovascular and thoracic surgeon / general practitioner,medical,1,1,0,1
mx,nutrologist,medical,0,0,0,2
br,rheumatologist,medical,0,0,0,1
mx,acupuncturist,medical,1,0,0,1
mx,complementary therapist,paramedical,0,0,0,1
br,occupational doctor / neurologist,medical,1,1,1,1
br,psychologist / complementary therapist,paramedical,1,1,0,1
br,mastologist / gynecologist,medical,1,1,1,1
mx,occupational doctor / complementary therapist,paramedical,1,1,0,1
br,pediatrician / pediatric pulmonologist,medical,1,1,1,2
mx,occupational therapist,paramedical,1,0,0,1
mx,orthopedist,paramedical,0,1,0,1
br,dermatologist / general practitioner / generalist,medical,1,1,0,1
mx,respiratory physician,medical,1,0,0,11
br,traumatologist and orthopedist,medical,1,0,0,74
mx,general practitioner,medical,0,0,0,23
br,medical clinic specialist / cardiologist,medical,1,1,0,1
mx,otorhinolaryngologist,medical,1,0,0,26
br,endocrinologist,medical,1,0,0,34
mx,dentist / bucal pathologist,medical,1,0,0,1
mx,orthopaedic surgeon / orthopedist / general practitioner,medical,0,0,0,2
br,head and neck surgeon,medical,1,0,0,5
br,sports medicine specialist,medical,1,0,0,1
mx,pediatrician / neonatologist,medical,0,1,1,2
br,hematologist,medical,1,1,1,10
br,endocrinologist / general practitioner,medical,1,0,0,2
mx,general surgeon / bariatric surgeon,medical,1,1,1,1
mx,neurosurgeon,medical,1,1,1,2
mx,maxillofacial surgeon,medical,1,0,0,8
br,psychiatrist / general practitioner / general surgeon,medical,1,1,1,1
br,otolaryngologist / craniomaxillofacial surgeon,medical,1,1,1,1
mx,urology gynecologist / gynecologist,medical,1,1,1,2
br,dermatologist / specialist in aesthetic medicine,medical,0,0,0,1
br,psychopedagogue,paramedical,1,0,0,3
mx,dentist,medical,0,1,0,7
mx,general practitioner / complementary therapist,medical,0,1,1,1
br,psychoanalyst,paramedical,1,1,0,12
br,ophthalmologist,medical,0,0,0,8
mx,nutritionist / nutrologist,paramedical,1,0,0,8
mx,oncologist,medical,1,0,0,6
br,cardiologist / internist / medical clinic specialist,medical,1,1,1,1
br,rheumatologist / general practitioner,medical,1,0,0,2
br,rheumatologist / medical clinic specialist,medical,1,1,1,1
br,internist / medical clinic specialist,medical,1,0,0,1
br,angiologist / vascular surgeon,medical,1,0,0,3
br,general surgeon / digestive system surgeon,medical,1,1,1,3
mx,proctologist / general surgeon,medical,1,1,0,1
br,psychiatrist / psychoanalyst,medical,1,1,1,2
mx,internist / infectologist,medical,1,0,0,2
br,general practitioner / medical clinic specialist,medical,1,1,1,3
mx,dentist / endodontist / periodontologist,medical,1,1,0,1
mx,podiatrist,paramedical,1,0,0,1
br,cardiologist / sports medicine specialist,medical,1,1,0,2
mx,infectologist / internist,medical,0,0,0,2
br,endocrinologist / medical clinic specialist / intensive medicine specialist,medical,1,1,0,1
br,general surgeon,medical,1,1,0,2
br,general practitioner / generalist / dermatologist,medical,1,1,1,1
mx,radiologist,medical,0,0,0,4
br,gynecologist / acupuncturist,medical,1,0,0,1
br,intensive medicine specialist / pediatrician,medical,0,0,0,1
mx,plastic surgeon,medical,1,1,0,2
mx,clinical nutritionist / nutritionist,paramedical,1,0,0,1
br,oncologist,medical,1,1,0,1
mx,emergency medicine specialist,paramedical,1,1,0,1
mx,nurse,medical,1,1,1,3
br,psychoanalyst / complementary therapist,paramedical,1,1,1,2
br,sexologist / psychologist,medical,1,1,1,1
br,generalist / psychiatrist,medical,1,0,0,1
br,gynecologist / mastologist,medical,1,0,0,1
br,psychiatrist / neurologist / pediatric neurologist,medical,1,1,1,1
br,orthodontist,paramedical,1,0,0,3
mx,allergist / pediatrician / general practitioner,medical,1,1,1,1
br,sports medicine specialist,medical,0,1,1,1
mx,nutrologist / specialist in obesity and thinness / nutritionist,medical,1,1,1,2
mx,pediatric hematologist,medical,1,1,0,1
br,oncologist surgeon / general surgeon,medical,1,1,0,1
mx,allergist / immunologist,medical,0,0,0,1
br,nutrologist,,1,1,1,1
br,homeopath / geriatrician,medical,1,0,0,1
mx,geriatrician / gerontologist,medical,1,1,1,1
mx,nephrologist,medical,1,1,0,1
mx,specialist in obesity and thinness / general practitioner,paramedical,1,0,0,1
mx,complementary therapist,paramedical,1,0,0,1
mx,general surgeon / proctologist,medical,0,0,0,1
mx,specialist in obesity and thinness / general practitioner,paramedical,0,1,1,1
br,cardiologist / general practitioner / intensive medicine specialist,medical,0,0,0,1
br,clinical pathologist,medical,1,0,0,1
br,cardiologist / medical clinic specialist,medical,0,0,0,1
mx,emergency medicine specialist / general practitioner,paramedical,0,1,1,1
mx,pediatric hematologist / pediatrician,medical,1,1,1,1
mx,pediatric neurologist / pediatrician / neurophysiologist,medical,0,0,0,1
br,psychiatrist / homeopath,medical,1,1,1,1
br,general practitioner / family doctor / psychiatrist,medical,1,0,0,1
br,general surgeon / coloproctologist,medical,1,1,0,1
mx,psychiatrist / general practitioner,medical,0,1,0,1
br,cardiologist / internist,medical,1,1,1,1
mx,orthodontist / dentist,medical,0,1,1,1
br,pediatrician / general practitioner,medical,1,1,1,1
br,bariatric surgeon,medical,0,0,0,1
mx,general practitioner,medical,1,1,1,88
br,psychoanalyst,paramedical,1,0,0,20
mx,pediatrician,medical,0,1,1,14
mx,infectologist / internist,medical,1,1,1,2
mx,cosmetic medicine specialist,medical,1,0,0,3
mx,plastic surgeon / cosmetic surgeon,medical,0,0,0,2
br,generalist / intensive medicine specialist,medical,1,1,1,1
mx,ophthalmologist,medical,1,1,0,9
mx,urologist / general practitioner,medical,1,1,0,2
mx,cosmetic medicine specialist / general practitioner,medical,0,0,0,2
mx,psychiatrist / general practitioner,medical,0,0,0,2
mx,chiropractor,paramedical,1,1,0,5
br,dentist,paramedical,1,0,0,56
br,hematologist,medical,1,1,0,1
mx,internist / general practitioner,medical,1,1,1,3
br,oncologist surgeon,medical,1,0,0,6
br,mastologist,medical,1,1,1,3
br,general practitioner / generalist,medical,1,1,0,2
br,ophthalmologist,medical,1,0,0,65
mx,pediatric dentist / dentist,medical,0,1,1,1
br,general practitioner / psychologist,medical,1,1,1,1
mx,orthodontist / dentist,medical,0,0,0,13
mx,pediatric dermatologist / pediatrician,medical,0,0,0,1
mx,maxillofacial surgeon / dentist,medical,1,0,0,3
mx,nephrologist,medical,0,0,0,5
br,infectologist,medical,1,0,0,16
mx,allergist / pediatrician,medical,1,1,0,1
br,general practitioner / family doctor,medical,1,1,1,2
mx,allergist / immunologist,medical,1,1,0,2
br,gastroenterologist / general practitioner / endoscopist,medical,1,1,1,1
br,urologist,medical,1,1,0,2
mx,orthodontist,medical,0,0,0,1
br,pediatric surgeon,medical,1,0,0,6
br,orofacial harmonization specialist,paramedical,1,1,0,1
br,psychiatrist / nutrologist,medical,1,1,0,1
br,generalist / complementary therapist,medical,1,1,1,1
mx,general surgeon / plastic surgeon / cosmetic surgeon,medical,0,0,0,1
br,pediatric gastroenterologist,medical,1,0,0,2
br,psychiatrist / family doctor,medical,1,1,0,2
br,oncologist / internist,medical,0,0,0,1
br,endocrinologist / occupational doctor,medical,1,1,0,1
mx,dermatologist,medical,0,1,1,1
br,psychiatrist / general practitioner / generalist,medical,1,1,0,1
mx,physiotherapist,paramedical,0,1,0,6
mx,nutrologist / specialist in obesity and thinness / nutritionist,medical,1,0,0,1
mx,neonatologist / pediatrician / general practitioner,medical,1,1,1,1
br,oncologist,medical,1,0,0,9
br,endocrinologist / geriatrician / sports medicine specialist,medical,1,1,1,1
br,general practitioner / otolaryngologist,medical,1,1,1,1
mx,gynecologist / gynecologist,medical,1,1,1,2
br,endocrinologist / medical clinic specialist,medical,1,1,0,1
mx,dermatologist / allergist / immunologist,medical,1,1,1,1
mx,radiation oncologist,medical,1,1,0,1
br,pain management specialist,medical,1,0,0,1
mx,sexologist / psychologist,paramedical,1,1,1,2
br,cardiologist / nutrologist,medical,1,1,1,1
mx,infectologist / internist,medical,1,1,0,1
br,traumatologist and orthopedist / pain management specialist,medical,1,0,0,4
mx,gastroenterologist / internist,medical,1,0,0,2
br,physical therapist / osteopath,paramedical,1,1,1,2
br,pediatric pulmonologist / complementary therapist / pediatrician,medical,1,0,0,1
br,pulmonologist / sleep doctor,medical,1,0,0,1
mx,periodontologist / implantologist / dentist,medical,0,0,0,1
br,pulmonologist,medical,0,0,0,1
br,generalist,,1,1,1,1
mx,nurse,medical,1,0,0,1
mx,psychologist / gerontologist,paramedical,1,1,0,1
mx,general practitioner / homeopath / complementary therapist,medical,0,1,1,1
mx,psychologist / educational psychologist,paramedical,0,1,1,1
mx,neurologist / internist,medical,0,1,1,1
mx,gynecologist / general practitioner,medical,0,1,1,1
br,dermatologist,medical,1,1,0,11
mx,ophthalmologist,medical,0,0,0,23
br,psychopedagogue,paramedical,1,1,1,7
br,general surgeon,medical,1,1,1,10
mx,allergist / pediatrician,medical,0,1,1,1
br,occupational doctor,medical,1,0,0,1
br,gynecologist / human reproduction specialist,medical,1,1,1,2
mx,internist,medical,0,1,0,6
br,medical clinic specialist / generalist,medical,1,1,1,1
mx,pediatrician,,1,1,1,2
br,sports medicine specialist,medical,1,1,1,3
br,radiotherapist / specialist in aesthetic medicine,medical,1,0,0,1
mx,psychologist,paramedical,0,0,0,31
br,psychiatrist / traumatologist and orthopedist,medical,1,0,0,1
mx,dentist,medical,0,1,1,30
br,nephrologist / general practitioner,medical,1,1,1,1
mx,speech therapist,paramedical,1,1,1,3
br,traumatologist and orthopedist,medical,1,1,1,23
mx,urologist,medical,1,1,1,10
mx,general surgeon / proctologist,medical,1,0,0,2
br,family doctor / homeopath,medical,1,0,0,1
br,pediatric neurologist / pediatrician,medical,1,1,1,3
br,cardiologist / medical clinic specialist,medical,1,0,0,5
br,psychiatrist / ultrasound specialist,medical,1,1,1,1
mx,dentist / orthodontist,medical,1,0,0,4
mx,gynecologist,medical,0,1,0,3
br,vascular surgeon / angiologist,medical,1,0,0,3
br,psychologist / sexologist,paramedical,1,1,1,6
br,family doctor / general practitioner,medical,1,1,1,12
mx,general surgeon / general practitioner,medical,1,0,0,6
mx,nephrologist / internist,medical,1,0,0,4
mx,nutrologist / nutritionist / specialist in obesity and thinness,medical,1,1,1,1
mx,gastroenterologist,medical,0,0,0,5
br,digestive system surgeon,medical,1,1,0,1
mx,neurologist,medical,0,0,0,4
mx,oncologist,medical,0,0,0,3
mx,cosmetic medicine specialist / general practitioner,medical,1,1,0,1
mx,endocrinologist,medical,1,1,1,2
br,cardiologist / nutrologist / general practitioner,medical,1,1,1,1
br,physical therapist,paramedical,1,0,0,7
mx,neonatologist / pediatrician,medical,0,0,0,2
br,endocrinologist / nutritionist,medical,1,0,0,1
br,cardiologist / general practitioner,medical,1,1,0,4
br,psychoanalyst,paramedical,0,0,0,4
br,pediatric rheumatologist / pediatrician,medical,1,0,0,1
br,dermatologist / specialist in aesthetic medicine,medical,1,0,0,2
mx,optometrist,medical,1,1,1,4
mx,complementary therapist / psychoanalyst,paramedical,1,0,0,1
mx,pediatric cardiologist / pediatrician,medical,1,1,1,4
br,endocrinologist / general practitioner,medical,1,1,1,4
br,endocrinologist / nutrologist,medical,1,0,0,1
br,gynecologist / expert doctor,medical,1,0,0,1
mx,specialist in obesity and thinness / general practitioner,paramedical,1,1,1,1
mx,pediatric gastroenterologist / pediatrician,medical,1,1,0,1
br,gastroenterologist,medical,0,0,0,2
br,psychiatrist,,1,0,0,1
